Brand,Shoe Size,Price Ratio
0,11.0,1.5318181818181817
1,10.5,1.625
0,7.0,1.5954545454545455
1,5.0,4.7375
0,11.5,1.1636363636363636
1,8.5,1.5294117647058822
0,6.5,1.4
0,9.5,1.5909090909090908
0,10.0,1.7181818181818183
0,5.5,1.9181818181818182
1,12.0,3.0
0,5.5,1.3636363636363635
0,11.5,1.6318181818181818
0,6.0,3.1818181818181817
1,12.0,5.0
1,8.5,7.373684210526315
0,12.0,1.2272727272727273
0,12.0,1.6590909090909092
0,6.0,2.2454545454545456
0,10.0,1.6
0,11.0,1.959090909090909
1,12.5,8.25263157894737
0,14.0,2.631818181818182
0,9.5,3.3181818181818183
0,8.0,3.172727272727273
0,12.0,1.2636363636363637
0,9.0,1.2181818181818183
0,9.0,0.8863636363636364
0,5.0,1.0863636363636364
0,14.0,1.4954545454545454
0,4.0,1.3045454545454545
0,7.5,1.1318181818181818
1,8.5,4.605263157894737
0,6.5,1.5
0,11.0,1.1681818181818182
0,7.0,1.3636363636363635
1,13.0,4.329411764705882
1,7.5,1.8
0,9.0,2.1363636363636362
0,8.5,3.581818181818182
0,11.0,3.2772727272727273
0,6.0,1.7045454545454546
1,10.5,7.894736842105263
0,11.0,1.2181818181818183
0,11.0,5.5
0,12.0,1.7727272727272727
0,4.0,1.1409090909090909
0,11.5,1.25
0,9.0,1.0772727272727274
0,9.0,1.6363636363636365
0,9.0,0.9363636363636364
1,11.0,3.769230769230769
1,10.0,2.736
1,11.0,2.0058823529411764
0,8.0,1.8181818181818181
0,9.5,1.2181818181818183
0,11.0,1.1590909090909092
0,14.0,1.6772727272727272
0,10.5,1.1590909090909092
0,10.5,1.2
1,11.0,6.336842105263158
0,10.0,1.290909090909091
0,10.5,1.7181818181818183
0,9.0,1.6636363636363636
0,7.5,1.6818181818181819
1,9.0,4.615384615384615
0,11.5,4.0227272727272725
1,10.0,3.91875
0,11.0,6.25
0,11.5,1.1363636363636365
0,10.5,2.459090909090909
0,7.5,1.9954545454545454
0,9.5,1.2045454545454546
0,14.0,1.440909090909091
1,10.0,5.0
0,9.0,1.2272727272727273
0,6.0,1.3636363636363635
0,9.0,3.140909090909091
0,10.0,1.7045454545454546
1,7.5,5.894736842105263
0,10.5,1.9681818181818183
0,10.5,1.8772727272727272
0,11.0,1.1590909090909092
1,10.0,2.9
1,7.5,4.815789473684211
1,11.0,4.375
1,8.5,3.8461538461538463
0,13.0,1.25
0,12.0,1.231818181818182
0,11.5,1.2045454545454546
0,5.5,1.1818181818181819
0,8.0,1.0954545454545455
0,10.0,1.8181818181818181
0,11.5,1.240909090909091
0,9.0,3.15
0,10.0,1.2727272727272727
0,13.0,3.25
0,10.0,1.1545454545454545
0,11.0,1.3181818181818181
1,12.5,3.6538461538461537
0,9.0,1.8181818181818181
1,8.0,3.2
0,12.0,2.040909090909091
0,10.5,3.1136363636363638
0,10.0,3.518181818181818
0,8.5,1.4545454545454546
0,7.0,3.7954545454545454
1,9.5,5.078947368421052
0,10.5,1.9727272727272727
0,9.5,1.75
0,12.0,1.3181818181818181
1,7.5,5.2631578947368425
0,9.5,1.1363636363636365
0,7.0,4.081818181818182
0,9.5,1.0772727272727274
0,8.0,1.9181818181818182
1,11.0,2.9411764705882355
0,11.5,1.7363636363636363
0,9.0,1.4136363636363636
0,10.0,1.809090909090909
0,8.0,1.7545454545454546
0,5.5,1.45
0,11.0,1.1772727272727272
0,10.5,1.1590909090909092
0,7.0,1.3181818181818181
0,9.5,1.2045454545454546
0,9.5,1.7045454545454546
1,11.0,3.96875
0,5.0,1.3409090909090908
0,11.0,3.409090909090909
1,9.5,3.2058823529411766
0,4.0,1.6681818181818182
1,9.5,3.8842105263157896
0,6.0,1.2227272727272727
0,12.0,1.8181818181818181
0,13.0,1.9363636363636363
0,11.0,1.7272727272727273
1,9.0,5.2625
1,9.5,5.257894736842105
0,9.0,1.209090909090909
1,13.0,4.01875
0,13.0,2.090909090909091
0,11.0,1.1590909090909092
0,5.5,1.1818181818181819
0,9.0,1.3590909090909091
1,11.0,4.375
0,10.0,1.7227272727272727
0,8.5,3.4545454545454546
1,8.0,5.394736842105263
0,4.5,2.272727272727273
